time_s,centroid_hz,rolloff85_hz,rolloff95_hz,flatness_0_1
0.0,9016.336788950157,16851.5625,21773.4375,0.49192994832992554
0.010666666666666666,8825.948138082935,17109.375,21960.9375,0.34711503982543945
0.021333333333333333,9610.66949872773,18023.4375,21773.4375,0.4222721755504608
0.032,10328.837219053554,18328.125,21750.0,0.4921295940876007
0.042666666666666665,10244.7693836927,18375.0,21843.75,0.4780586361885071
0.05333333333333334,9408.135852173786,17789.0625,21632.8125,0.4427027404308319
0.064,8400.338930751594,16664.0625,20742.1875,0.31130197644233704
0.07466666666666667,8437.110515632896,16898.4375,20671.875,0.2604975402355194
0.08533333333333333,9822.37559767222,18539.0625,21773.4375,0.44011786580085754
0.096,10429.674824497113,19101.5625,22125.0,0.49279722571372986
0.10666666666666667,10063.456094763695,18960.9375,22218.75,0.4193864166736603
0.11733333333333333,8667.012864111599,17062.5,21515.625,0.2863208055496216
0.128,8961.777755809606,16804.6875,20531.25,0.32774779200553894
0.13866666666666666,8967.250025575126,17320.3125,21351.5625,0.35314473509788513
0.14933333333333335,9709.062614389666,18328.125,21890.625,0.40517958998680115
0.16,8915.735199238869,17390.625,21609.375,0.2767781615257263
0.17066666666666666,8462.892694193002,16476.5625,20789.0625,0.29036614298820496
0.18133333333333335,9414.557724217331,18164.0625,21703.125,0.40380603075027466
0.192,9828.550668546739,18773.4375,21890.625,0.4471212923526764
0.20266666666666666,9444.237048400566,18257.8125,21937.5,0.41486966609954834
0.21333333333333335,8918.430562438158,17601.5625,21703.125,0.34947699308395386
0.224,8587.926951494183,16875.0,21351.5625,0.3148573637008667
0.23466666666666666,9035.752313947854,16781.25,20835.9375,0.3814018666744232
0.24533333333333332,9558.948381500926,17789.0625,21843.75,0.44763436913490295
0.256,9574.754879915417,17718.75,21820.3125,0.4182472825050354
0.26666666666666666,9524.161045631019,17460.9375,21281.25,0.40971219539642334
0.2773333333333333,9169.436430675261,17414.0625,21187.5,0.39212456345558167
0.288,8766.479562663917,17156.25,20976.5625,0.3309987783432007
0.2986666666666667,8672.40276704841,16898.4375,21046.875,0.322310209274292
0.30933333333333335,9234.348670673824,17437.5,21398.4375,0.38512954115867615
0.32,9484.37188914778,17343.75,21070.3125,0.4306158423423767
0.33066666666666666,9225.809238262627,17179.6875,21234.375,0.38126471638679504
0.3413333333333333,9040.938941127308,17320.3125,21468.75,0.3873012065887451
0.352,8570.185203609726,16640.625,21210.9375,0.3129267692565918
